NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. DOROLONDA,02.2025,Ambon,Sabtu,1-Feb-25,15:00,Sabtu,1-Feb-25,18:00
KM. DOROLONDA,02.2025,Namlea,Sabtu,1-Feb-25,23:00,Minggu,2-Feb-25,01:00
KM. DOROLONDA,02.2025,Bau-Bau,Senin,3-Feb-25,00:01,Senin,3-Feb-25,02:00
KM. DOROLONDA,02.2025,Makassar,Senin,3-Feb-25,16:00,Senin,3-Feb-25,19:00
KM. DOROLONDA,02.2025,Surabaya,Selasa,4-Feb-25,22:00,,,
KM. DOBONSOLO,01.2025,Tg.Priok,Selasa,7-Jan-25,14:00,Rabu,8-Jan-25,10:00
KM. DOBONSOLO,01.2025,Surabaya,Kamis,9-Jan-25,13:00,Kamis,9-Jan-25,17:00
KM. DOBONSOLO,01.2025,Makassar,Jum'at,10-Jan-25,21:00,Jum'at,10-Jan-25,23:59
KM. DOBONSOLO,01.2025,Bau-bau,Sabtu,11-Jan-25,16:00,Sabtu,11-Jan-25,18:00
KM. DOBONSOLO,01.2025,Sorong,Senin,13-Jan-25,12:00,Senin,13-Jan-25,15:00
KM. DOBONSOLO,01.2025,Manokwari,Selasa,14-Jan-25,07:00,Selasa,14-Jan-25,10:00
KM. DOBONSOLO,01.2025,Sorong,Rabu,15-Jan-25,02:00,Rabu,15-Jan-25,05:00
KM. DOBONSOLO,01.2025,Bau-bau,Kamis,16-Jan-25,22:00,Kamis,16-Jan-25,23:59
KM. DOBONSOLO,01.2025,Makassar,Jum'at,17-Jan-25,16:00,Jum'at,17-Jan-25,19:00
KM. DOBONSOLO,01.2025,Surabaya,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOBONSOLO,01.2025,Tg.Priok,Senin,20-Jan-25,08:00,,,
KM. DOBONSOLO,01.2025,Tg.Priok,Selasa,7-Jan-25,14:00,Rabu,8-Jan-25,10:00
KM. DOBONSOLO,01.2025,Surabaya,Kamis,9-Jan-25,13:00,Kamis,9-Jan-25,17:00
KM. DOBONSOLO,01.2025,Makassar,Jum'at,10-Jan-25,21:00,Jum'at,10-Jan-25,23:59
KM. DOBONSOLO,01.2025,Bau-bau,Sabtu,11-Jan-25,16:00,Sabtu,11-Jan-25,18:00
KM. DOBONSOLO,01.2025,Sorong,Senin,13-Jan-25,12:00,Senin,13-Jan-25,15:00
KM. DOBONSOLO,01.2025,Manokwari,Selasa,14-Jan-25,07:00,Selasa,14-Jan-25,10:00
KM. DOBONSOLO,01.2025,Sorong,Rabu,15-Jan-25,02:00,Rabu,15-Jan-25,05:00
KM. DOBONSOLO,01.2025,Bau-bau,Kamis,16-Jan-25,22:00,Kamis,16-Jan-25,23:59
KM. DOBONSOLO,01.2025,Makassar,Jum'at,17-Jan-25,16:00,Jum'at,17-Jan-25,19:00
KM. DOBONSOLO,01.2025,Surabaya,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOBONSOLO,01.2025,Tg.Priok,Senin,20-Jan-25,08:00,,,
KM. DOBONSOLO,02.2025,Tg.Priok,Senin,20-Jan-25,12:00,Kamis,20-Feb-25,23:59
KM. DOBONSOLO,02.2025,Surabaya,Sabtu,22-Feb-25,03:00,Sabtu,22-Feb-25,07:00
KM. DOBONSOLO,02.2025,Makassar,Minggu,23-Feb-25,13:00,Minggu,23-Feb-25,17:00
KM. DOBONSOLO,02.2025,Bau-Bau,Senin,24-Feb-25,09:00,Senin,24-Feb-25,12:00
KM. DOBONSOLO,02.2025,Sorong,Rabu,26-Feb-25,06:00,Rabu,26-Feb-25,10:00
KM. DOBONSOLO,02.2025,Manokwari,Kamis,27-Feb-25,02:00,Kamis,27-Feb-25,05:00
KM. DOBONSOLO,02.2025,Biak,Kamis,27-Feb-25,15:00,Kamis,27-Feb-25,18:00
KM. DOBONSOLO,02.2025,Jayapura,Jum'at,28-Feb-25,16:00,Jum'at,28-Feb-25,22:00
KM. DOBONSOLO,02.2025,Biak,Sabtu,1-Mar-25,20:00,Sabtu,1-Mar-25,23:00
KM. DOBONSOLO,02.2025,Manokwari,Minggu,2-Mar-25,10:00,Minggu,2-Mar-25,13:00
KM. DOBONSOLO,02.2025,Sorong,Senin,3-Mar-25,05:00,Senin,3-Mar-25,09:00
KM. DOBONSOLO,02.2025,Bau-Bau,Rabu,5-Mar-25,05:00,Rabu,5-Mar-25,08:00
KM. DOBONSOLO,02.2025,Makassar,Kamis,6-Mar-25,01:00,Kamis,6-Mar-25,04:00
KM. DOBONSOLO,02.2025,Surabaya,Jum'at,7-Mar-25,12:00,Jum'at,7-Mar-25,14:00
KM. DOBONSOLO,02.2025,Tg.Priok,Sabtu,8-Mar-25,18:00,,,
